,Best Model,RMSE,MAE,MAPE
KIT0000896,AR,12.446530413807265,12.412637321814078,25.505280858875356
KIT0000897,AR,12.942141538321557,12.939504705623001,26.25344148874372
KIT0000642,SARIMAX,11.078169139424297,11.078165091765378,23.450048368591244
KIT0000645,ARIMA,18.918193523713366,18.529713883073168,31.53790338226472
KIT0000647,SARIMA,9.01878743800494,9.016660887428454,83.94336565476446
KIT0000737,AR,1.9914155160001796,1.9904187369064754,14.322493532930036
KIT0000285,SARIMAX,1.8161242653345182,1.4187236263283172,4.729078754427723
KIT0000286,SARIMAX,7.140294593010677,7.138211387813023,23.79403795937674
KIT0000949,ARIMA,0.11473518203705065,0.09116425255346972,0.911642525534697
KIT0000937,AR,24.83131846492776,24.186360736960083,21.09241099255294
KIT0000938,AR,3.680511170812596,3.6785708635916023,2.4523805757277346
KIT0000894,SARIMAX,1.2732172718153507,1.2483128636057543,1.6491860181819056
KIT0000895,ARIMA,4.747330153782325,4.735084470306653,5.915340365548063
KIT0000219,ARIMA,0.7764847971823231,0.771213214135237,3.497091323569415
KIT0000933,ETS,24.009331351268173,22.783288364483276,45.56657672896656
KIT0000627,SARIMAX,97.8322270314799,83.71287514430897,198.8094811401706
KIT0000581,SARIMA,0.34574166387783234,0.3437970248779054,5.729950414631757
KIT0000928,AR,2.8005809165500337,2.0290126700759963,8.413121877160242
KIT0000365,ARIMA,25.55088855085631,24.753791636558255,44.23560905138005
KIT0000366,ARIMA,29.021709399705905,28.89378865336125,48.21447089921411
KIT0001042,SARIMAX,13.446335987434558,13.437356109736882,18.617671551665836
KIT0000370,SARIMAX,80.79036108955923,69.4087601101084,18.573367572061102
KIT0000445,ARIMA,88.02401064602891,80.52329368673057,15.294188242492835
KIT0000609,ARIMA,6.7922375655997715,6.630793797600063,5.164892535004663
KIT0000905,AR,42.94809733451292,31.709229042340567,23.4193906070591
KIT0000968,SARIMAX,265.79698348462966,244.30996837160654,46.691222919210226
KIT0000468,SARIMAX,40.940553624604775,38.078695661132684,12.359510912565556
KIT0000524,ARIMA,7.329336826693247,7.000086705868334,28.965434614598916
KIT0000563,ARIMA,1.6991271559506451,1.2152312530770004,2.6399641199468245
KIT0000564,SARIMAX,2.352810766146752,2.270433998288448,28.3804249786056
KIT0000565,ETS,4.6097721512054015,3.4999551893902616,19.02798645848581
KIT0000569,ARIMA,2.1304299527588157,2.106932744663796,13.968058061790789
KIT0000994,SARIMAX,17.288065288608717,12.59405562485999,10.651425547622146
KIT0000995,SARIMAX,73.63976881931,59.85000176845875,8.459596946964078
KIT0000975,SARIMAX,41.495780404637784,29.380047960281303,6.189955274074395
KIT0000976,SARIMAX,21.770190056345555,20.829331177968754,10.229402174722802
KIT0000978,ARIMA,60.7507374023946,52.62130143550053,17.103912235881555
KIT0001031,SARIMAX,43.644600382955,31.34441309692869,18.4992590569168
KIT0000417,ARIMA,28.259660049650588,28.259449242873174,20.619765462890676
KIT0000143,SARIMAX,62.1982663429699,61.911286704539336,43.34616505729005
KIT0000144,ARIMA,61.26887435827564,60.85650280531854,50.22171052635112
KIT0000145,SARIMA,6.590771714967615,6.58658591100686,131.7317182201372
KIT0000146,ARIMA,23.743912337101705,20.200661915365217,38.194919375260866
KIT0000660,SARIMA,3.2586395123406957,2.8105277267317277,14.047092306943215
KIT0000868,ARIMA,3.8958659196388967,3.130606152264555,3.534823069690512
KIT0000519,AR,348.02623982258825,334.8444432420147,5.349444310974826
KIT0001030,AR,22.718303335456408,19.188413937149335,20.610770286544025
KIT0000803,AR,19.58626083832925,14.634515945123269,16.709773704613152
KIT0000854,ARIMA,4.279049977990473,4.258159972839678,2.0276952251617515
KIT0001014,SARIMAX,87.44273129596056,84.82382632301983,27.153149181930775
KIT0000467,SARIMAX,36.85170182464179,26.71040706299479,26.460988691885362
KIT0000696,AR,19.273938573935535,19.181861741846383,28.15158330782086
KIT0000170,AR,12.276508581840057,11.900734402670182,20.761326243446895
KIT0001027,ARIMA,802.9700720125738,738.0645344771365,55.14658072630596
KIT0001028,AR,253.38250825839424,240.88478295313575,24.426581442441016
KIT0000432,SARIMAX,50.317910102392275,50.311867069153294,22.379583316281902
KIT0000860,AR,4.482165580913061,4.481483064287897,11.493396242758156
KIT0000008,AR,36.140294846328544,33.87633797853918,66.83389456317987
KIT0000010,ETS,4.211131710803043,3.2138067367621055,21.014895155449416
KIT0000012,SARIMAX,1.056340085993557,1.054235196927811,60.58802049376535
KIT0000013,ARIMA,48.52364283975206,47.606813180721986,208.35724776435396
KIT0000194,ETS,3.457238522228001,3.443116551751015,116.2459676778812
KIT0000195,ETS,0.7071112834238065,0.5000195601499596,50.001137172212815
KIT0000948,SARIMAX,21.90024768163586,18.80177754603163,82.22270713242355
KIT0000953,ETS,7.359328307596348,7.27023086247171,10.63336354435354
KIT0000958,ARIMA,10.994855198732786,8.420909574731269,3.073324662310682
KIT0000985,ETS,8.841985230442674,8.263772785638722,4.079199871020841
KIT0001013,AR,42.05171979212698,41.63801002462816,20.550342167208687
KIT0000582,ARIMA,26.636689542908584,26.089278146773978,20.014659492875303
KIT0001024,AR,104.61405545581128,103.25932134847,23.37949565059149
KIT0001017,SARIMAX,56.1964390269017,47.76901796486813,55.713042525446944
KIT0000437,AR,3.141540670561011,2.8563220384620696,45.76205315165699
KIT0000296,ARIMA,5.402352760771643,4.676777421585154,9.572720443054147
KIT0000297,ARIMA,4.799659280465885,4.313181340606626,9.721575590440642
KIT0000355,ETS,28.10434605164873,21.92582195035854,102.3887370016424
KIT0000674,AR,1.1806946678103558,1.1800366181029354,3.8065697358159207
KIT0000503,ARIMA,5.425159695943558,4.498445542365957,8.447179386182988
KIT0000203,AR,3.227650807545459,2.955791198995276,56.35041312529652
KIT0000204,SARIMAX,3.0804651321938517,2.5595550941140104,23.481770519897154
KIT0000460,SARIMAX,62.95674696085495,61.485386433095286,204.95128811031762
KIT0000461,ARIMA,3.6627787338626066,3.5860758981264524,3.2899778881894064
KIT0000959,ARIMA,14.352084123502499,14.285108681136961,30.48271270049916
KIT0000560,AR,9.58711848609712,9.499519696435105,37.23950561020356
KIT0000990,SARIMAX,37.234606772298015,28.566295555606757,1.5631325482864333
KIT0000526,SARIMA,84.80147575801611,63.39567025033415,4.253966979837697
KIT0000294,ARIMA,612.888810203462,526.698205590807,84.2900763915107
KIT0000414,AR,198.08259457706828,188.00922314504268,96.71884147192725
KIT0001037,ARIMA,957.809622387362,837.9440800811585,19.539997364020735
KIT0000084,ARIMA,3.303924227031558,3.302769615122884,5.370087890457642
KIT0000174,ARIMA,2.753719239849438,2.5184569386645315,5.784279729113361
KIT0000175,ARIMA,14.87727778726834,14.877268618299437,87.5133448135261
KIT0000227,SARIMAX,2.7969981883089,2.7961728236525087,38.29812133429796
KIT0000228,SARIMAX,0.6319950259258509,0.6304961894153995,24.187359678887134
KIT0000353,AR,0.712209801262962,0.5762585537404767,2.8812927687023837
KIT0000784,ARIMA,3.8269433970386304,3.0183515067301165,16.75596458554354
KIT0000016,ARIMA,72.22269966117946,70.70074189989477,230.08003452589153
KIT0000123,ARIMA,3.2233025411510883,2.894460677323459,226.18508708445125
KIT0000147,AR,23.586694806784404,23.574103237019663,297.88713493113113
KIT0000177,AR,2.3456914273388976,2.3420078429401414,5.8550196073503535
KIT0000256,ETS,42.434939723732654,40.95144208975734,96.27044042769748
KIT0000298,SARIMAX,115.09017061041853,114.74122576672818,13.981169174605274
KIT0000942,SARIMAX,7.471347728348529,6.95992129967091,15.071896968163001
KIT0001002,ARIMA,4.5974633487779775,4.071816836825825,12.09497885619228
KIT0001004,ARIMA,4.976169038820337,4.964642287990969,12.411605719977423
