,Best Model,RMSE,MAE,MAPE
KIT0000896,AR,12.446530413807265,12.412637321814078,25.505280858875356
KIT0000897,AR,12.942141538321557,12.939504705623001,26.25344148874372
KIT0000642,SARIMA,21.6185235882801,19.887948305549727,49.84967375166203
KIT0000645,AR,22.96997110298933,22.67792158655408,39.27110393007955
KIT0000647,SARIMA,9.01878743800494,9.016660887428454,83.94336565476446
KIT0000737,AR,1.9914155160001796,1.9904187369064754,14.322493532930036
KIT0000285,ETS,7.281182175878869,7.2474722073285065,24.158240691095024
KIT0000286,SARIMA,22.24202686521871,17.776274711136175,59.25424903712057
KIT0000949,ARIMA,0.14625783247319615,0.14591057930588303,1.4591057930588303
KIT0000937,AR,24.83131846492776,24.186360736960083,21.09241099255294
KIT0000938,AR,3.680511170812596,3.6785708635916023,2.4523805757277346
KIT0000894,AR,13.578988884845444,11.48735210533897,16.904248877359905
KIT0000895,SARIMA,23.07766709722738,19.565662226025506,23.593160980560313
KIT0000219,AR,2.2265218568770773,2.0425816809969923,9.731061361800583
KIT0000933,ETS,24.009331351268173,22.783288364483276,45.56657672896656
KIT0000627,ETS,100.3851957133776,94.47700203863816,196.05322906046396
KIT0000581,SARIMA,0.34574166387783234,0.3437970248779054,5.729950414631757
KIT0000928,AR,2.8005809165500337,2.0290126700759963,8.413121877160242
KIT0000365,ARIMA,25.55088855085631,24.753791636558255,44.23560905138005
KIT0000366,ARIMA,29.021709399705905,28.89378865336125,48.21447089921411
KIT0001042,ETS,18.138508403721342,18.092564902785945,25.269417707505436
KIT0000370,SARIMA,144.39152232582782,140.56920214381734,35.341743878114116
KIT0000445,ARIMA,100.89834392743154,92.532642592104,17.601522166086237
KIT0000609,ARIMA,6.7922375655997715,6.630793797600063,5.164892535004663
KIT0000905,AR,42.94809733451292,31.709229042340567,23.4193906070591
KIT0000968,AR,282.8372313709855,282.77467237823123,45.768150078659694
KIT0000468,ETS,74.78820147858768,67.56680740163888,21.3970730315139
KIT0000524,ETS,8.842841716140663,8.754579681905785,31.271838665696407
KIT0000563,ARIMA,2.0879633539881244,1.782253856844381,3.683472020221148
KIT0000564,AR,2.554551596804809,2.553717016613408,31.9214627076676
KIT0000565,ETS,4.6097721512054015,3.4999551893902616,19.02798645848581
KIT0000569,ARIMA,2.252253155692747,1.8874283562281526,13.187656734215436
KIT0000994,ARIMA,55.58896751476398,43.20003102429162,52.288396535957894
KIT0000995,ARIMA,99.41254858321327,89.35833118475722,12.808387475535804
KIT0000975,SARIMA,134.50161756449535,131.44576406625913,37.494504206170895
KIT0000976,SARIMA,27.757281223757207,25.259905775661906,12.759834704665291
KIT0000978,ARIMA,66.00467606324797,57.62437814851563,18.709367737868813
KIT0001031,ETS,86.30820788612981,73.04455574768521,50.46854900927744
KIT0000417,ETS,39.283692432707525,38.754904133155634,29.61974025418273
KIT0000143,ARIMA,77.60922508230836,77.25124792411206,54.637751130337186
KIT0000144,ARIMA,61.26887435827564,60.85650280531854,50.22171052635112
KIT0000145,SARIMA,6.590771714967615,6.58658591100686,131.7317182201372
KIT0000146,ARIMA,23.92868647280852,20.30671142006223,38.428015139286295
KIT0000660,SARIMA,3.2586395123406957,2.8105277267317277,14.047092306943215
KIT0000868,ARIMA,6.591231152058861,5.002268709857361,5.607397551967553
KIT0000519,AR,348.02623982258825,334.8444432420147,5.349444310974826
KIT0001030,AR,22.718303335456408,19.188413937149335,20.610770286544025
KIT0000803,AR,19.58626083832925,14.634515945123269,16.709773704613152
KIT0000854,ARIMA,9.028771997845636,9.028770209928382,4.2994143856801825
KIT0001014,ARIMA,181.6178859075027,173.10333020470833,56.04602581370581
KIT0000467,ETS,42.72140463473672,37.2897807710064,80.50074638662905
KIT0000696,AR,19.273938573935535,19.181861741846383,28.15158330782086
KIT0000170,AR,12.276508581840057,11.900734402670182,20.761326243446895
KIT0001027,AR,846.6930036913724,846.6515767449466,53.21891138671098
KIT0001028,AR,253.38250825839424,240.88478295313575,24.426581442441016
KIT0000432,ETS,72.32049131929317,54.488034168938086,23.758975588333644
KIT0000860,AR,4.482165580913061,4.481483064287897,11.493396242758156
KIT0000008,AR,36.140294846328544,33.87633797853918,66.83389456317987
KIT0000010,ETS,4.211131710803043,3.2138067367621055,21.014895155449416
KIT0000012,ETS,2.070024495722633,1.4806264955427346,146.70290360660894
KIT0000013,ARIMA,48.52364283975206,47.606813180721986,208.35724776435396
KIT0000194,ETS,3.457238522228001,3.443116551751015,116.2459676778812
KIT0000195,ETS,0.7071112834238065,0.5000195601499596,50.001137172212815
KIT0000948,ARIMA,22.8713599353602,16.521548049623483,81.50907301442523
KIT0000953,ETS,7.359328307596348,7.27023086247171,10.63336354435354
KIT0000958,ARIMA,11.311308972128348,8.325936997213063,3.038663137669001
KIT0000985,ETS,8.841985230442674,8.263772785638722,4.079199871020841
KIT0001013,AR,42.05171979212698,41.63801002462816,20.550342167208687
KIT0000582,ARIMA,27.754047867202054,25.375926342577458,19.968655666590397
KIT0001024,AR,104.61405545581128,103.25932134847,23.37949565059149
KIT0001017,SARIMA,77.00907313003071,66.7998337896583,161.12166522352217
KIT0000437,AR,3.141540670561011,2.8563220384620696,45.76205315165699
KIT0000296,ARIMA,10.720493305502119,8.37513148768726,18.42441596939907
KIT0000297,ARIMA,10.403089910928358,8.129325275706332,13.294115519818739
KIT0000355,ETS,28.10434605164873,21.92582195035854,102.3887370016424
KIT0000674,AR,1.1806946678103558,1.1800366181029354,3.8065697358159207
KIT0000503,ETS,9.221581835350873,8.903349297472275,15.368562928465805
KIT0000203,AR,3.227650807545459,2.955791198995276,56.35041312529652
KIT0000204,ETS,8.20350526686604,7.823732608461741,64.84580755450338
KIT0000460,SARIMA,70.46293051578907,68.97758135758635,229.92527119195447
KIT0000461,AR,4.200865309726523,4.103223384131979,3.764425123056862
KIT0000959,AR,15.287713447657787,15.250896896406207,32.81932776458327
KIT0000560,AR,9.58711848609712,9.499519696435105,37.23950561020356
KIT0000990,ETS,101.40077253189494,77.47652255789558,4.239180921171188
KIT0000526,SARIMA,84.80147575801611,63.39567025033415,4.253966979837697
KIT0000294,ARIMA,612.888810203462,526.698205590807,84.2900763915107
KIT0000414,AR,198.08259457706828,188.00922314504268,96.71884147192725
KIT0001037,AR,993.4783336869407,830.1423432672259,19.682498629032935
KIT0000084,ARIMA,3.303924227031558,3.302769615122884,5.370087890457642
KIT0000174,ARIMA,2.753719239849438,2.5184569386645315,5.784279729113361
KIT0000175,ARIMA,19.68843164363285,19.675039357922365,115.73552563483744
KIT0000227,ETS,3.2880293539990095,3.1144103553014677,36.63449786712879
KIT0000228,AR,0.6434235172901375,0.537363243579267,24.574683671978065
KIT0000353,AR,0.712209801262962,0.5762585537404767,2.8812927687023837
KIT0000784,ARIMA,5.056824503747351,4.962140626883959,34.78110801236815
KIT0000016,SARIMA,75.19100408595433,73.90436524903589,175.94527258136404
KIT0000123,ARIMA,3.2233025411510883,2.894460677323459,226.18508708445125
KIT0000147,AR,23.586694806784404,23.574103237019663,297.88713493113113
KIT0000177,AR,2.3456914273388976,2.3420078429401414,5.8550196073503535
KIT0000256,ETS,42.434939723732654,40.95144208975734,96.27044042769748
KIT0000298,AR,339.0766395168749,339.07226505925246,39.94563865518411
KIT0000942,SARIMA,11.93790441394008,10.04716869310245,18.70456097391362
KIT0001002,ETS,5.865554973095397,5.516105354285138,16.59882106007709
KIT0001004,ARIMA,4.976169038820337,4.964642287990969,12.411605719977423
KIT0001008,ARIMA,26.61916871500183,26.595618041924673,82.58631389883058
KIT0000162,ARIMA,2.3163299965654995,2.0505034244425744,7.070701463595085
KIT0000201,ARIMA,11.758516432612685,10.231251890619319,4.092500756247727
